date,FTSE100,GDP,GNIph,EG,IR,CPI,UR,EI,AWE,LC,BDIR,BCIR,I,FDI,IP,RS,HP,PMI
01/01/1985,1280.8,99.37,1733,0.8,0.36,42.5,11.5,8581,5.5,11.5,3.42,5.05,20.97,277,20.97,72.7,50.51,54.2
01/02/1985,1259.7,99.37,1733,0.8,0.77,42.83,11.5,8578,5.5,11.5,3.42,5.05,20.97,277,20.97,72.7,50.51,54.2
01/03/1985,1277.0,99.37,1733,0.8,0.98,43.25,11.4,8572,5.5,11.4,3.42,5.05,20.97,277,20.97,72.7,50.51,54.2
01/04/1985,1291.0,100.24,1804,2.1,2.16,44.18,11.4,8581,5.5,11.4,3.42,5.05,19.9,-119,19.9,72.7,50.51,54.2
01/05/1985,1313.0,100.24,1804,2.1,0.42,44.36,11.4,8572,5.5,11.4,3.42,5.05,19.9,-119,19.9,72.7,50.51,54.2
01/06/1985,1234.9,100.24,1804,2.1,0.21,44.46,11.3,8572,5.5,11.3,3.42,5.05,19.9,-119,19.9,72.7,50.51,54.2
01/07/1985,1261.7,104.8,1832,0.1,-0.21,44.36,11.3,8568,5.5,11.3,3.42,5.05,20.53,-226,20.53,72.7,50.51,54.2
01/08/1985,1340.8,104.8,1832,0.1,0.32,44.5,11.3,8558,5.5,11.3,3.42,5.05,20.53,-226,20.53,72.7,50.51,54.2
01/09/1985,1290.0,104.8,1832,0.1,-0.1,44.46,11.3,8549,5.5,11.3,3.42,5.05,20.53,-226,20.53,72.7,50.51,54.2
01/10/1985,1377.2,110.02,1865,0.2,0.21,44.55,11.3,8544,5.5,11.3,3.42,5.05,20.92,-1021,20.92,72.7,50.51,54.2
01/11/1985,1439.1,110.02,1865,0.2,0.31,44.69,11.3,8543,5.5,11.3,3.42,5.05,20.92,-1021,20.92,72.7,50.51,54.2
01/12/1985,1412.6,110.02,1865,0.2,0.1,44.74,11.3,8543,5.5,11.3,3.42,5.05,20.92,-1021,20.92,72.7,50.51,54.2
01/01/1986,1435.0,108.53,1904,1.1,0.21,44.83,11.3,8536,5.5,11.3,3.42,5.05,21.15,-163,21.15,72.7,50.51,54.2
01/02/1986,1543.9,108.53,1904,1.1,0.42,45.02,11.3,8531,5.5,11.3,3.42,5.05,21.15,-163,21.15,72.7,50.51,54.2
01/03/1986,1668.8,108.53,1904,1.1,0.1,45.06,11.3,8528,5.5,11.3,3.42,5.05,21.15,-163,21.15,72.7,50.51,54.2
01/04/1986,1660.5,108.05,1933,0.7,1.03,45.53,11.3,8523,5.5,11.3,3.42,5.05,20.91,-347,20.91,72.7,50.51,54.2
01/05/1986,1602.8,108.05,1933,0.7,0.1,45.58,11.3,8517,5.5,11.3,3.42,5.05,20.91,-347,20.91,72.7,50.51,54.2
01/06/1986,1649.8,108.05,1933,0.7,0.0,45.58,11.4,8495,5.5,11.4,3.42,5.05,20.91,-347,20.91,72.7,50.51,54.2
01/07/1986,1558.1,111.62,1958,0.5,-0.31,45.44,11.4,8467,5.5,11.4,3.42,5.05,22.4,-626,22.4,72.7,50.51,54.2
01/08/1986,1661.2,111.62,1958,0.5,0.31,45.58,11.4,8446,5.5,11.4,3.42,5.05,22.4,-626,22.4,72.7,50.51,54.2
01/09/1986,1555.8,111.62,1958,0.5,0.51,45.81,11.3,8441,5.5,11.3,3.42,5.05,22.4,-626,22.4,72.7,50.51,54.2
01/10/1986,1632.1,118.44,2026,1.8,0.2,45.9,11.3,8423,5.5,11.3,3.42,5.05,23.9,-2157,23.9,72.7,50.51,54.2
01/11/1986,1636.7,118.44,2026,1.8,0.81,46.28,11.3,8416,5.5,11.3,3.42,5.05,23.9,-2157,23.9,72.7,50.51,54.2
01/12/1986,1679.0,118.44,2026,1.8,0.3,46.42,11.2,8407,5.5,11.2,3.42,5.05,23.9,-2157,23.9,72.7,50.51,54.2
01/01/1987,1808.3,117.3,2083,0.9,0.4,46.6,11.2,8409,5.5,11.2,3.42,5.05,23.5,-524,23.5,72.7,50.51,54.2
01/02/1987,1979.2,117.3,2083,0.9,0.4,46.79,11.1,8419,5.5,11.1,3.42,5.05,23.5,-524,23.5,72.7,50.51,54.2
01/03/1987,1997.6,117.3,2083,0.9,0.2,46.88,11.0,8407,5.5,11.0,3.42,5.05,23.5,-524,23.5,72.7,50.51,54.2
01/04/1987,2050.5,118.83,2139,1.5,1.19,47.44,10.9,8384,5.5,10.9,3.42,5.05,25.01,-837,25.01,72.7,50.51,54.2
01/05/1987,2203.0,118.83,2139,1.5,0.1,47.49,10.7,8360,5.5,10.7,3.42,5.05,25.01,-837,25.01,72.7,50.51,54.2
01/06/1987,2284.1,118.83,2139,1.5,0.0,47.49,10.6,8334,5.5,10.6,3.42,5.05,25.01,-837,25.01,72.7,50.51,54.2
01/07/1987,2360.9,127.02,2225,2.4,-0.1,47.44,10.4,8312,5.5,10.4,3.42,5.05,27.58,-864,27.58,72.7,50.51,54.2
01/08/1987,2249.7,127.02,2225,2.4,0.29,47.58,10.2,8283,5.5,10.2,3.42,5.05,27.58,-864,27.58,72.7,50.51,54.2
01/09/1987,2366.0,127.02,2225,2.4,0.29,47.72,10.0,8267,5.5,10.0,3.42,5.05,27.58,-864,27.58,72.7,50.51,54.2
01/10/1987,1749.8,132.99,2260,1.1,0.49,47.95,9.9,8250,5.5,9.9,3.42,5.05,28.55,-1290,28.55,72.7,50.51,54.2
01/11/1987,1579.9,132.99,2260,1.1,0.49,48.19,9.7,8230,5.5,9.7,3.42,5.05,28.55,-1290,28.55,72.7,50.51,54.2
01/12/1987,1713.9,132.99,2260,1.1,-0.1,48.14,9.5,8205,5.5,9.5,3.42,5.05,28.55,-1290,28.55,72.7,50.51,54.2
01/01/1988,1790.8,132.13,2333,1.8,0.0,48.14,9.4,8182,5.5,9.4,3.42,5.05,29.88,-866,29.88,72.7,50.51,54.2
01/02/1988,1768.8,132.13,2333,1.8,0.21,48.24,9.2,8169,5.5,9.2,3.42,5.05,29.88,-866,29.88,72.7,50.51,54.2
01/03/1988,1742.5,132.13,2333,1.8,0.41,48.44,9.0,8159,5.5,9.0,3.42,5.05,29.88,-866,29.88,72.7,50.51,54.2
01/04/1988,1802.2,134.22,2391,0.6,1.23,49.03,8.9,8153,5.5,8.9,3.42,5.05,31.16,-1203,31.16,72.7,50.51,54.2
01/05/1988,1784.5,134.22,2391,0.6,0.41,49.23,8.7,8140,5.5,8.7,3.42,5.05,31.16,-1203,31.16,72.7,50.51,54.2
01/06/1988,1857.6,134.22,2391,0.6,0.4,49.43,8.6,8134,5.5,8.6,3.42,5.05,31.16,-1203,31.16,72.7,50.51,54.2
01/07/1988,1853.6,140.85,2464,1.5,0.0,49.43,8.5,8121,5.5,8.5,3.42,5.05,32.39,-796,32.39,72.7,50.51,54.2
01/08/1988,1753.6,140.85,2464,1.5,0.4,49.63,8.4,8090,5.5,8.4,3.42,5.05,32.39,-796,32.39,72.7,50.51,54.2
01/09/1988,1826.5,140.85,2464,1.5,0.4,49.83,8.3,8065,5.5,8.3,3.42,5.05,32.39,-796,32.39,72.7,50.51,54.2
01/10/1988,1852.4,148.41,2538,0.9,0.4,50.03,8.2,8042,5.5,8.2,3.42,5.05,33.17,-2700,33.17,72.7,50.51,54.2
01/11/1988,1792.4,148.41,2538,0.9,0.4,50.23,8.0,8031,5.5,8.0,3.42,5.05,33.17,-2700,33.17,72.7,50.51,54.2
01/12/1988,1793.1,148.41,2538,0.9,0.2,50.33,7.9,8011,5.5,7.9,3.42,5.05,33.17,-2700,33.17,72.7,50.51,54.2
01/01/1989,2051.8,146.66,2602,0.4,0.2,50.43,7.7,7985,5.5,7.7,3.42,5.05,36.02,85,36.02,72.7,50.51,54.2
01/02/1989,2002.4,146.66,2602,0.4,0.39,50.63,7.6,7949,5.5,7.6,3.42,5.05,36.02,85,36.02,72.7,50.51,54.2
