FTSE100,CPI,I,IP,GNIph,UR,FTSE100_LSTM
6213.479004,100.364937,84.164009,84.997253,7193.634277,5.110975,6356.1
6107.40918,100.364937,84.164009,84.997253,7193.634277,5.110975,6242.3
5958.869141,99.504959,84.997215,85.889786,7335.40625,5.110975,6083.8
5971.367676,99.827377,84.997215,85.889786,7335.40625,5.110975,6097.1
6044.355957,100.257401,84.997215,85.889786,7335.40625,5.013833,6174.9
6107.034668,100.257401,86.678596,87.69532,7448.10791,4.916977,6241.9
6096.662109,100.472466,86.678596,87.69532,7448.10791,4.916977,6230.8
6350.851074,100.687561,86.678596,87.69532,7448.10791,4.916977,6504.3
6553.190918,100.687561,88.910591,90.101364,7547.243164,5.013833,6724.4
6605.339355,101.010269,88.910591,90.101364,7547.243164,4.820415,6781.5
6712.460938,101.225441,88.910591,90.101364,7547.243164,4.820415,6899.3
6762.165039,101.333046,88.948967,90.142838,7673.607422,4.820415,6954.2
6607.437012,101.548264,88.948967,90.142838,7673.607422,4.724161,6783.8
6931.823242,102.086433,88.948967,90.142838,7673.607422,4.724161,7142.8
6892.755859,101.97879,89.687019,90.940834,7790.403809,4.628222,7099.2
7039.39502,102.624756,89.687019,90.940834,7790.403809,4.628222,7263.4
7092.196777,102.947815,89.687019,90.940834,7790.403809,4.532609,7322.9
6986.414062,103.486343,91.864136,93.301575,7740.685547,4.437331,7203.9
7265.789551,103.809517,91.864136,93.301575,7740.685547,4.437331,7520.0
7083.157715,103.809517,91.864136,93.301575,7740.685547,4.342399,7312.7
7135.630859,103.809517,92.130615,93.591232,7839.035156,4.342399,7372.0
7187.305176,104.348206,92.130615,93.591232,7839.035156,4.342399,7430.6
7136.337891,104.671448,92.130615,93.591232,7839.035156,4.24782,7372.8
7242.218262,104.779213,94.160439,95.802666,7943.140137,4.342399,7493.1
7095.562012,105.102493,94.160439,95.802666,7943.140137,4.437331,7326.7
7411.932129,105.425789,94.160439,95.802666,7943.140137,4.342399,7687.8
7277.690918,104.886971,93.270332,94.83181,7959.280762,4.24782,7533.6
7011.368652,105.318008,93.270332,94.83181,7959.280762,4.24782,7231.9
6854.493652,105.533554,93.270332,94.83181,7959.280762,4.24782,7056.6
7256.41748,105.964645,93.658859,95.255379,8036.833008,4.24782,7509.3
7403.612793,106.395744,93.658859,95.255379,8036.833008,4.059761,7678.2
7367.764648,106.395744,93.658859,95.255379,8036.833008,4.059761,7636.9
7464.674316,106.395744,94.472359,96.14328,8117.185059,4.059761,7748.8
7188.88916,107.042397,94.472359,96.14328,8117.185059,4.153605,7432.4
7257.206543,107.150162,94.472359,96.14328,8117.185059,4.153605,7510.2
6918.662598,107.257935,94.906647,96.617889,8091.095215,4.059761,7128.1
6785.654785,107.47348,94.906647,96.617889,8091.095215,4.059761,6980.2
6556.574219,107.689018,94.906647,96.617889,8091.095215,3.966298,6728.1
6775.449707,106.934624,97.84552,99.840454,8289.140625,3.966298,6968.9
6870.76123,107.365715,97.84552,99.840454,8289.140625,3.873223,7074.7
7053.433594,107.581253,97.84552,99.840454,8289.140625,3.873223,7279.2
7176.385742,108.227821,98.209671,100.241089,8336.923828,3.873223,7418.2
6948.729492,108.551086,98.209671,100.241089,8336.923828,3.966298,7161.7
7182.90332,108.551086,98.209671,100.241089,8336.923828,3.873223,7425.6
7324.152344,108.658829,99.020287,101.133965,8358.794922,3.966298,7586.8
6989.35791,108.982056,99.020287,101.133965,8358.794922,3.873223,7207.2
7167.57373,109.089798,99.020287,101.133965,8358.794922,3.873223,7408.2
7026.056152,108.982056,98.386909,100.436188,8387.592773,3.873223,7248.4
7113.088867,109.197525,98.386909,100.436188,8387.592773,3.873223,7346.5
7285.38623,109.197525,98.386909,100.436188,8387.592773,3.966298,7542.4
7059.47168,108.982056,97.658607,99.634926,8166.286621,4.059761,7286.0
6421.227051,109.305244,97.658607,99.634926,8166.286621,4.059761,6580.6
5568.957031,109.305244,97.658607,99.634926,8166.286621,4.059761,5672.0
5786.650879,109.305244,78.247742,78.701263,6920.367188,4.153605,5901.2
5952.100098,109.305244,78.247742,78.701263,6920.367188,4.153605,6076.6
6039.484863,109.520691,78.247742,78.701263,6920.367188,4.342399,6169.7
5783.433594,109.951523,92.947777,94.480453,8042.866699,4.532609,5897.8
5845.629395,109.520691,92.947777,94.480453,8042.866699,4.820415,5963.6
5753.418945,109.951523,92.947777,94.480453,8042.866699,5.013833,5866.1
5478.553223,109.951523,92.947777,94.480453,8042.866699,5.110975,5577.3
